title,lat,lng
新竹縣尖石鄉水田林道,24.743401296436786651611328125,121.2687707506120204925537109375
新竹縣尖石鄉薰衣草林道(B),24.73593863658607006072998046875,121.2358836829662322998046875
新竹縣尖石鄉薰衣草林道(A),24.73546204157173633575439453125,121.2344609387218952178955078125
桃園市龜山區光華坑,25.03374413587152957916259765625,121.3614279963076114654541015625
新竹縣五峰鄉羅山林道,24.62783052586019039154052734375,121.15264526568353176116943359375
宜蘭縣冬山鄉力霸產業道路,24.61516027338802814483642578125,121.7780213244259357452392578125
宜蘭縣大同鄉大溪河道,24.626028500497341156005859375,121.60883638076484203338623046875
宜蘭縣大同鄉芃芃溫泉,24.60913519375026226043701171875,121.52621327899396419525146484375
基隆市七堵區新山夢湖低速林道,25.123754797007027,121.64483750360587
新北市貢寮區福隆林道,25.00394186026733,121.9535243641259
新北市貢寮區桃源谷林道,24.976959097354317,121.88400536441773
新北市林口區蝙蝠洞,25.11894446,121.3170122
新北市林口區水牛坑,25.119864039962994,121.31765551421613
新北市林口區大風車,25.12181622599161,121.32164464684044
宜蘭縣蘇澳鎮武荖坑林道,24.6017660307346,121.815074293484
宜蘭縣南澳鄉台泥大白山礦場,24.574248874639753,121.83122738290588
新北市雙溪區樹梅礦場,25.09372389052565,121.8603868736103
宜蘭縣蘇澳鎮神秘海灘,24.437466835069134,121.80213637843947
